,X,idx,beta,pval,cilb,ciub,i2,tau2,symbol
109,ENSG00000163939.17,13377,-0.298716233937078,7.9617018360955e-09,-0.400197591614111,-0.197234876260046,90.9889528082558,0.0483150816511977,PBRM1
110,ENSG00000107104.17,32345,-0.798037149078449,1.0526796793906e-08,-1.07138911537242,-0.524685182784482,97.5906171752162,0.394866636576814,KANK1
111,ENSG00000211445.10,57689,-1.81336887891548,1.18798621476702e-08,-2.43674417740444,-1.18999358042651,98.3549427960336,2.03701507809277,GPX3
113,ENSG00000265972.4,49398,-1.11414229558553,1.39541326296872e-08,-1.4990026685826,-0.729281922588452,97.9848220879377,0.825580798830907,TXNIP
116,ENSG00000150907.6,8361,-0.958771968780687,2.00074782536995e-08,-1.29362224819771,-0.62392168936366,98.5295026782282,0.634790137281388,FOXO1
117,ENSG00000134917.9,54722,-2.12778448468031,2.28898230656052e-08,-2.87401353712771,-1.38155543223291,98.7573480350027,3.11750762394857,ADAMTS8
118,ENSG00000140044.11,6896,-0.708148052656062,2.53879745584249e-08,-0.957303879112286,-0.458992226199837,96.9889201745685,0.331013319627273,JDP2
120,ENSG00000178175.10,46430,-1.27264001985734,2.72160687423406e-08,-1.72138432544064,-0.823895714274038,96.9980225240256,1.07334777817246,ZNF366
122,ENSG00000111961.15,35815,-0.893972501623922,3.28041095095114e-08,-1.21106016034788,-0.576884842899966,97.7765048955484,0.55296708411287,SASH1
123,ENSG00000133878.7,26190,-2.20028508451124,4.36535979448869e-08,-2.98789570906772,-1.41267445995476,97.9201584138154,3.41674010974861,DUSP26
127,ENSG00000164197.10,33556,-1.48700741681491,6.71007173301481e-08,-2.02684945239756,-0.947165381232252,99.3177878397797,1.6554803591132,RNF180
128,ENSG00000143768.10,4972,-2.7999942920277,7.49968822023494e-08,-3.82028127959887,-1.77970730445653,98.292942354118,5.88759925762837,LEFTY2
129,ENSG00000121769.6,7693,-0.969210231304822,8.42452153593036e-08,-1.32376247967117,-0.614657982938478,93.6641408872567,0.626022583325144,FABP3
130,ENSG00000121691.4,57114,-1.19185660700542,9.8207983721512e-08,-1.63012905505626,-0.753584158954579,98.9857929379526,1.08564659843188,CAT
131,ENSG00000233608.3,59645,-1.66571477244442,9.88113910855559e-08,-2.27836339199577,-1.05306615289307,97.9046956528225,1.94162214643397,TWIST2
132,ENSG00000122877.12,15448,-1.23350467852943,1.12399044854179e-07,-1.6891922185529,-0.777817138505952,95.1760172229643,1.10173181509132,EGR2
133,ENSG00000143878.9,48544,-1.13191222653803,1.15520829616066e-07,-1.55046335602495,-0.713361097051118,97.9408462455346,0.957597169066268,RHOB
134,ENSG00000095794.18,1110,-0.485898126712204,1.29530025740708e-07,-0.666282837318083,-0.305513416106325,92.1633393417543,0.155607648095309,CREM
136,ENSG00000144339.10,45412,-2.80153176413341,1.6999755470243e-07,-3.851523896052,-1.75153963221483,98.3336841656465,5.98030525783318,TMEFF2
137,ENSG00000138650.8,16303,-2.04930988517365,1.95823177679181e-07,-2.82124401739453,-1.27737575295277,97.9134436373112,3.26264306171571,PCDH10
138,ENSG00000100234.11,34286,-1.48739706200636,2.00930548031065e-07,-2.04818553997115,-0.926608584041572,97.6994668647923,1.68178418788455,TIMP3
139,ENSG00000162733.15,2713,-1.59065576936411,2.0149617978762e-07,-2.19043584472241,-0.990875694005819,98.7205354828622,1.98354426584941,DDR2
140,ENSG00000110002.14,38583,-0.829674353583965,2.03624779576769e-07,-1.14263289339683,-0.516715813771101,98.4731729411556,0.56059494199371,VWA5A
142,ENSG00000101955.13,51864,-1.97325181669935,2.18279043748536e-07,-2.71943364937312,-1.22706998402558,99.0060981505565,3.13626665503438,SRPX
144,ENSG00000133121.19,36384,-1.00515242404599,2.38897799068747e-07,-1.38648910240901,-0.623815745682982,98.6571563257388,0.795372570159689,STARD13
145,ENSG00000099860.7,44975,-0.983643769667735,2.63993731446331e-07,-1.35817698973885,-0.609110549596618,94.6721191825198,0.698687076475275,GADD45B
146,ENSG00000119950.19,46558,-0.654894111835038,2.68179718950934e-07,-0.904395394470805,-0.40539282919927,98.2458233813393,0.352966470631813,MXI1
147,ENSG00000162595.4,23099,-1.55816550349196,4.13680958784814e-07,-2.1614083358569,-0.954922671127029,98.3457379232602,2.02374709582977,DIRAS3
148,ENSG00000105856.12,28606,-0.380490361881429,4.53379944526888e-07,-0.528307723826589,-0.232672999936268,94.163542069784,0.105668260500859,HBP1
152,ENSG00000175662.16,19744,-0.680473129449963,6.40517027408391e-07,-0.948361203320201,-0.412585055579724,98.5073129219361,0.410653982500574,TOM1L2
154,ENSG00000141646.12,20045,-0.365643672145135,7.1566627861869e-07,-0.510214836661353,-0.221072507628917,98.0042250262775,0.117034051483558,SMAD4
155,ENSG00000179399.12,17823,-2.98027407365542,7.39662612326143e-07,-4.16016572255944,-1.80038242475139,98.6908899624579,7.62542650584381,GPC5
156,ENSG00000164741.13,32295,-1.25086571305366,7.63974357195532e-07,-1.74671463246033,-0.755016793646999,98.6793729579476,1.38372464853062,DLC1
157,ENSG00000112319.16,3151,-2.01300240006663,7.89083532346445e-07,-2.8119845216013,-1.21402027853195,97.5542400243343,3.54741882760494,EYA4
158,ENSG00000120008.14,31651,-0.169124013997745,8.32190135566069e-07,-0.236392611688338,-0.101855416307153,88.2171966066018,0.019958725887648,WDR11
159,ENSG00000017427.14,11817,-1.56204792359907,8.94292720543667e-07,-2.18512908070041,-0.938966766497734,97.7301844623362,2.10139930256197,IGF1
